id,source,url,date,actor,event_type,loop_pathology,rounds_stated,reason_given,docs_submitted,appeal_mentioned,hold_days_stated,resolution,amount_inr,quote,notes
R012,g2,https://www.g2.com/products/razorpay/reviews,2025-11-27,merchant,other,n/a,,,,unclear,,unresolved,,the international payment options challenging as the approval process is very tough and often results in rejections even if a merchant can receive international payments via other platforms like PayPal,UNDERWRITING REJECTION for intl payments product - risk-adjacent decision; also usage-based billing unavailable
R013,g2,https://www.g2.com/products/razorpay/reviews,2026-04-27,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,the amount is disbursed within 2 days which is really good... document verification process being quick,COUNTER-EVIDENCE on both settlement speed and KYC speed; different Aniket P. from R005
R014,g2,https://www.g2.com/products/razorpay/reviews,2026-05-06,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,Once we crossed 5L monthly GMV razorpay offered custom TDR negotiation,CAMPAIGN TELL - same zero-AMC/TCO framing as R002 R008 R009
R015,g2,https://www.g2.com/products/razorpay/reviews,2026-04-09,employee,n/a,n/a,,n/a,n/a,n/a,,n/a,,Employees are given the freedom to take initiative and truly own their work,EXCLUDED - Razorpay employee review not a merchant
R016,g2,https://www.g2.com/products/razorpay/reviews,2026-05-22,payer,n/a,n/a,,n/a,n/a,n/a,,n/a,,As a consumer I have the choice to select from the multiple payment options,EXCLUDED - self-identifies as consumer not merchant
R017,g2,https://www.g2.com/products/razorpay/reviews,2026-08-13,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,It's costly and I sometimes run into technical glitches,thin review
R018,g2,https://www.g2.com/products/razorpay/reviews,2026-01-22,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,With Razorpay I cannot change the subscription payment details once its created. They can also improve with their webhook response,subscription mandate immutability; webhook quality
R019,g2,https://www.g2.com/products/razorpay/reviews,2026-02-20,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,the support team's responses can be slow at times,support latency; reports gated to higher plans
R020,g2,https://www.g2.com/products/razorpay/reviews,2026-02-04,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,Sometimes payouts or the verification process take a longer than expected,mild verification delay - no risk action described
R021,g2,https://www.g2.com/products/razorpay/reviews,2025-07-31,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,refund system is also very slow it takes more then 7 days,refund latency; wants failed-txn notification
R022,g2,https://www.g2.com/products/razorpay/reviews,2026-01-14,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,A little economical version would be very helpful for small businesses,pricing only
R023,g2,https://www.g2.com/products/razorpay/reviews,2025-12-10,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,the support team takes a while to respond and the dashboard may seem overwhelming,support latency; dashboard complexity
R024,g2,https://www.g2.com/products/razorpay/reviews,2025-07-09,merchant,no_risk_event,n/a,,n/a,n/a,unclear,,n/a,,chargeback process can be difficult to track,CHARGEBACK OPACITY - relevant; also limited intl support; support slow
R025,consumercomplaints,https://www.consumercomplaints.in/razorpay-b115695,2026-04-04,payer,n/a,n/a,,n/a,n/a,n/a,,unresolved,2500,The amount got deducted from my SBI bank account but the Razorpay page showed an error and the amount was not added to the NPS account,EXCLUDED - payer; NPS contribution failure
R026,consumercomplaints,https://www.consumercomplaints.in/razorpay-b115695,2026-04-02,payer,n/a,n/a,,n/a,n/a,n/a,,unresolved,,ticket is not booked and money is deducted from my tez upi,EXCLUDED - payer; IRCTC
R027,consumercomplaints,https://www.consumercomplaints.in/razorpay-b115695,2026-03-15,payer,n/a,n/a,,n/a,n/a,n/a,,unresolved,,On what account have the above amounts been withdrawn from my bank account and under whose authority,EXCLUDED - payer; unauthorised ACH debit
R028,consumercomplaints,https://www.consumercomplaints.in/razorpay-b115695,2025-09-09,payer,n/a,n/a,,n/a,n/a,n/a,,resolved,224,Request you to kindly return my debit amount of Rs 224. Please disable auto-debit from my account,EXCLUDED - payer; unauthorised auto-debit
R029,consumercomplaints,https://www.consumercomplaints.in/razorpay-b115695,2025-08-01,payer,n/a,n/a,,n/a,n/a,n/a,,unresolved,7299,I have been following up for months but I have not received the refund yet,EXCLUDED - payer; paid via RIZE service provider
R030,consumercomplaints,https://www.consumercomplaints.in/razorpay-b115695,2025-03-18,payer,n/a,n/a,,n/a,n/a,n/a,,unresolved,2074,The amount got deducted from my bank account and credited to your account. However the amount was not received by IRCTC,EXCLUDED - payer; IRCTC
R031,voxya,https://voxya.com/consumer-complaints/razorpay-payment-settlement-issue/246352,2025-06-30,merchant,settlement_hold,sequential_requests;goalpost_move,,docs_request,yes,unclear,,unresolved,,every day new doubts are being raised and my payment is being blocked,KEY ROW - docs submitted repeatedly but goalposts moved; amount masked 6-figure; pay-by-link receipt; only post-2024 merchant risk case found so far
R032,mouthshut,https://www.mouthshut.com/product-reviews/razorpay-reviews-925992393,2025-05-07,merchant,settlement_hold,sequential_requests;goalpost_move,,docs_request,yes,unclear,,unresolved,,"Even after submitting every document, new and unexpected demands arise, such as a board resolution in a specific format",KEY ROW - explicit SEQUENTIAL request pattern: 'they send queries one at a time each followed by a 48-72 hour delay'; also reports valid registered address marked untraceable (CPV failure); corroborates R031 goalpost-moving independently
R033,mouthshut,https://www.mouthshut.com/product-reviews/razorpay-reviews-925992393,2024-10-08,merchant,settlement_hold,goalpost_move,,docs_request,yes,yes,7,unresolved,,"even after providing everything, they had the audacity to ask for social media links",VPS/dedicated server RESELLER - genuinely high-risk MCC so flag may be CORRECT; asked for social links from B2B firm with none; then undertaking letter re card storage; hold_days stated as 'over a week'; threatened consumer court
R034,mouthshut,https://www.mouthshut.com/product-reviews/razorpay-reviews-925992393,2024-02-20,merchant,settlement_hold,stateless_rereq,,docs_request,yes,yes,,unresolved,,Razorpay replied with the same irrelevant questions which was asked 1 month before,KEY ROW - STATELESSNESS proven: same questions re-asked at 1-month lag; reviewer logged the 24h reply cycle with dates across Feb 15-20 2024; threatened legal action
R035,mouthshut,https://www.mouthshut.com/product-reviews/razorpay-reviews-925992393,2024-05-14,merchant,settlement_hold,impossible_req,,specific,no,unclear,,unresolved,,they refused to release money until we update GST,STRUCTURAL THRESHOLD CONFLICT - turnover under Rs 20L so legitimately GST-unregistered; requirement was impossible to satisfy not merely slow; Shiva Realty
R036,mouthshut,https://www.mouthshut.com/product-reviews/razorpay-reviews-925992393,2025-05-12,merchant,tid_deactivation,none,,specific,n/a,yes,,unresolved,,the TID has been deactivated for no transactions since more than 3 months,KEY ROW - FALSE POSITIVE from naive behavioural signal; POS machine non-functional 4 months with open ticket their own technician never closed; exculpatory evidence was already inside Razorpay; nodal officer route described as useless; TID deactivation may warrant new category; recoded other->tid_deactivation in schema v2
R037,mouthshut,https://www.mouthshut.com/product-reviews/razorpay-reviews-925992393,2026-07-30,merchant,no_risk_event,n/a,,n/a,yes,unclear,,resolved,,Every single one of these was resolved in the first response,COUNTER-EVIDENCE - 3 years across 2 companies 8-10 tickets incl KYC document resubmission and one failed payout all first-response; date approximate: reviewer said '30 days ago'; resolved against the 2026-08-29 coding date (file mtime)
